originalTitle,features
Chasing Ice,"Biography,Documentary, nm2341611"
Chelovek s kino-apparatom,"Documentary,Music, nm0442227, nm0895048"
Cherasaala,"Crime,Drama,Romance, nm13388274"
Chhatriwali,"Comedy,Drama, nm4853598, nm3708020"
Chhichhore,"Comedy,Drama,Romance, nm3818286, nm4318159"
Chi bi: Jue zhan tian xia,"Action,Adventure,Drama, nm0504897, nm0000247"
Children of Men,"Action,Drama,Sci-Fi, nm0654110, nm0190859"
Chillar Party,"Comedy,Drama,Family, nm4541970, nm2134474"
Chinatown,"Drama,Mystery,Thriller, nm0000197, nm0000591"
Chinjeolhan geumjassi,"Crime,Drama,Thriller, nm3093662, nm0661791"
Chithram,"Comedy,Drama,Musical, nm0482320, nm0698184"
Chlopaki nie placza,"Comedy,Crime, nm0836137, nm0523821"
Christiane F. - Wir Kinder vom Bahnhof Zoo,"Biography,Drama, nm0042191, nm0248942"
Chugyeokja,"Action,Crime,Drama, nm2412823, nm2947553"
Chun gwong cha sit,"Drama,Romance, nm0002000, nm0939182"
Chung Hing sam lam,"Comedy,Crime,Drama, nm0437580, nm0939182"
Chup,"Crime,Romance,Thriller, nm4921260, nm2669564"
Chupke Chupke,"Comedy,Drama,Romance, nm0004429, nm0611531"
Cidade de Deus,"Crime,Drama, nm1179105, nm0576987"
Cinderella Man,"Biography,Drama,Romance, nm0000128, nm0000165"
Citizen Kane,"Drama,Mystery, nm0000080"
Citizenfour,"Biography,Documentary,History, nm0688636"
City Lights,"Comedy,Drama,Romance, nm0000122"
Clerks,"Comedy, nm0641168, nm0003620"
Close,"Drama, nm13465094, nm4080113"
Close Encounters of the Third Kind,"Drama,Sci-Fi, nm0000377, nm0000229"
Clouds,"Biography,Drama,Music, nm4591107, nm1682573"
Cléo de 5 à 7,"Comedy,Drama,Music, nm0100171, nm0889513"
Coal Miner's Daughter,"Biography,Drama,Music, nm0000169, nm0000776"
Cobain: Montage of Heck,"Animation,Biography,Documentary, nm0605137"
Cocaine Cowboys,"Crime,Documentary,History, nm0169253"
Coco,"Adventure,Animation,Comedy, nm5645519, nm0881279"
Colectiv,"Crime,Documentary, nm1681049"
Collapse,"Documentary, nm0807687"
Collateral,"Action,Crime,Drama, nm0000129, nm0000520"
Company,"Action,Crime,Drama, nm0222426, nm0890060"
Contact,"Drama,Mystery,Sci-Fi, nm0000190, nm0000709"
Conte d'été,"Comedy,Drama,Romance, nm0693799, nm0006445"
Contracorriente,"Drama,Fantasy,Romance, nm2046763, nm1659906"
Contratiempo,"Crime,Drama,Mystery, nm1832584, nm1079062"
Control,"Biography,Drama,Music, nm0727165, nm0179221"
Cool Hand Luke,"Crime,Drama, nm0000056, nm0742341"
Coraline,"Animation,Drama,Family, nm1894655, nm0783139"
Cowboy Bebop: Tengoku no tobira,"Action,Animation,Crime, nm0082507, nm0913860"
Cowspiracy: The Sustainability Secret,"Documentary, nm5986857"
Crash,"Crime,Drama,Thriller, nm0000332, nm0353673"
Creed,"Action,Drama,Sport, nm0430107, nm3363032"
Crimes and Misdemeanors,"Comedy,Drama, nm0001445"
Crip Camp,"Documentary,History, nm1011820"
"Crna macka, beli macor","Comedy,Crime,Romance, nm0786281, nm0001437"
Crossing the Bridge: The Sound of Istanbul,"Documentary,History,Music, nm0015359"
Crumb,"Biography,Comedy,Documentary, nm0959062"
Cría cuervos,"Drama, nm0767022"
Cyrano de Bergerac,"Comedy,Drama,History, nm0000367, nm0710919"
DAMaN,"Adventure,Drama, nm3534300, nm9070209"
Da hong denglong gaogao gua,"Drama,Romance, nm0530864, nm0955443"
Da xiang xidi erzuo,"Drama, nm9636805, nm9636804"
Dag,"Adventure,Drama,Thriller, nm5384553, nm3809021"
Dag II,"Action,Drama,War, nm5384553, nm3809021"
Dahnam,"Drama, nm3749594, nm12851172"
Dai-bosatsu tôge,"Action,Drama, nm0619938, nm0645477"
Dalkomhan insaeng,"Action,Crime,Drama, nm0496932, nm0453518"
Dallas Buyers Club,"Biography,Drama, nm0000190, nm0885249"
Dancer in the Dark,"Crime,Drama,Musical, nm0001556, nm0001885"
Dances with Wolves,"Adventure,Drama,Western, nm0000126"
Dangal,"Action,Biography,Drama, nm0451148, nm4318159"
Dangerous Liaisons,"Drama,Romance, nm0000518, nm0001241"
Dara iz Jasenovca,"Drama,War, nm3168810, nm0031342"
Darbareye Elly,"Drama,Mystery, nm1486911, nm1410815"
Dare mo shiranai,"Drama, nm1625874, nm0466153"
Dark City,"Fantasy,Mystery,Sci-Fi, nm0001722, nm0001639"
Dark Passage,"Film-Noir,Thriller, nm0000007, nm0202681"
Dark Victory,"Drama,Romance, nm0107575, nm0332539"
Dark Waters,"Biography,Drama,History, nm0749263, nm0001331"
Darr,"Action,Drama,Romance, nm0219971, nm0007181"
Das Boot,"Drama,War, nm0001638, nm0000583"
Das Cabinet des Dr. Caligari,"Horror,Mystery,Thriller, nm0470328, nm0927468"
Das Experiment,"Drama,Thriller, nm0001953, nm0386570"
Das Leben der Anderen,"Drama,Mystery,Thriller, nm0618057, nm0003697"
Das Testament des Dr. Mabuse,"Crime,Mystery,Thriller, nm0459030, nm0000485"
Das weiße Band - Eine deutsche Kindergeschichte,"Drama,Mystery,Thriller, nm3041056, nm0359734"
Dasvidaniya,"Comedy,Drama, nm0665555, nm3125271"
Davaro: Son Eskiya,"Adventure,Comedy,Drama, nm0839017, nm0862605"
David Attenborough: A Life on Our Planet,"Biography,Documentary, nm0288144"
Dawn of the Dead,"Horror,Thriller, nm0256361, nm0001681"
Dawn of the Planet of the Apes,"Action,Adventure,Drama, nm0000198, nm0716257"
Days of Heaven,"Drama,Romance, nm0000152, nm0000517"
Days of Wine and Roses,"Drama, nm0000493, nm0001175"
Dazed and Confused,"Comedy, nm0518715, nm0000500"
De marathon,"Comedy,Drama,Sport, nm0908973, nm5053973"
Dead Man,"Adventure,Drama,Fantasy, nm0000136, nm0000464"
Dead Man Walking,"Crime,Drama, nm0000576, nm0000209"
Dead Man's Shoes,"Crime,Drama,Thriller, nm0175916, nm0276349"
Dead Poets Society,"Comedy,Drama, nm0000245, nm0001837"
Dead of Night,"Drama,Horror, nm0424345, nm0146709"
Deadpool,"Action,Comedy, nm0005351, nm1783265"
Deadpool 2,"Action,Adventure,Comedy, nm0005351, nm0500610"
Dear Frankie,"Drama,Romance, nm1380882, nm0994254"
Death Note: Desu nôto,"Crime,Drama,Fantasy, nm0297885, nm0437526"
Dedemin Insanlari,"Comedy,Drama,Family, nm1002038, nm1463981"
Deewaar,"Action,Crime,Drama, nm0000821, nm0007181"
Deiva Thirumagal,"Drama, nm1417314, nm1777967"
Delhi Belly,"Action,Comedy,Crime, nm1405359, nm3218978"
Delicatessen,"Comedy,Crime, nm0684500, nm0001988"
Deliver Us from Evil,"Crime,Documentary, nm1332844"
Deliverance,"Adventure,Drama,Thriller, nm0000685, nm0000958"
Den skyldige,"Crime,Drama,Thriller, nm0147767, nm7546166"
Der Himmel über Berlin,"Drama,Fantasy,Romance, nm0004486, nm0000694"
Der Name der Rose,"Drama,Mystery,Thriller, nm0000125, nm0000269"
Der Tunnel,"Drama,History,Thriller, nm0272224, nm0725345"
Der Untergang,"Biography,Drama,History, nm0004486, nm0386570"
Der blaue Engel,"Drama,Music, nm0417837, nm0903049"
Der letzte Mann,"Drama, nm0417837, nm0003638"
Der müde Tod,"Drama,Fantasy,Horror, nm0324553, nm0000485"
Der siebente Kontinent,"Drama, nm0076679, nm0359734"
Dersu Uzala,"Adventure,Biography,Drama, nm0613364, nm0000041"
Despicable Me,"Adventure,Animation,Comedy, nm0136797, nm1853544"
Destry Rides Again,"Comedy,Western, nm0000071, nm0550892"
Det sjunde inseglet,"Drama,Fantasy, nm0001884, nm0000005"
Detachment,"Drama, nm0004778, nm0443411"
Detective Byomkesh Bakshy!,"Action,Crime,Drama, nm3818286, nm1962313"
Detective Story,"Crime,Drama,Film-Noir, nm0000018, nm0943758"
Dev.D,"Comedy,Drama,Romance, nm1867717, nm0440604"
Devasuram,"Action,Drama,Thriller, nm0482320, nm0765873"
Devdas,"Drama,Musical,Romance, nm0451321, nm0080220"
Devrim Arabalari,"Drama, nm0082211, nm1376035"
Dhruva,"Action,Crime,Thriller, nm2776304, nm2050878"
Dhuruvangal Pathinaaru,"Crime,Drama,Mystery, nm0706721, nm8678191"
Dhwani,"Crime,Drama,Thriller, nm13570210, nm13587043"
Dia,"Drama,Romance, nm10536247, nm11108345"
Dial M for Murder,"Crime,Thriller, nm0001537, nm0000033"
Diarios de motocicleta,"Adventure,Biography,Drama, nm0305558, nm0758574"
Die Abenteuer des Prinzen Achmed,"Adventure,Animation,Family, nm0718201"
Die Blechtrommel,"Drama,War, nm0000908, nm0772522"
Die Brücke,"Drama,War, nm0092135, nm0926919"
Die Büchse der Pandora,"Crime,Drama,Romance, nm0466776, nm0655065"
Die Ehe der Maria Braun,"Drama, nm0530594, nm0001202"
Die Feuerzangenbowle,"Comedy, nm0004464, nm0919012"
Die Fälscher,"Crime,Drama,History, nm0548686, nm0752328"
Die Hard,"Action,Thriller, nm0000246, nm0001532"
Die Hard with a Vengeance,"Action,Adventure,Thriller, nm0000246, nm0001532"
Die Nibelungen: Siegfried,"Adventure,Drama,Fantasy, nm0725332, nm0000485"
Die Sehnsucht der Veronika Voss,"Drama, nm0857150, nm0001202"
Die Welle,"Drama,Thriller, nm0900915, nm0304541"
Die bitteren Tränen der Petra von Kant,"Drama,Romance, nm0001202"
Diego Maradona,"Biography,Documentary,Sport, nm0438090"
Dig!,"Documentary,Music, nm0863756"
Dil Bechara,"Comedy,Drama,Romance, nm3818286, nm2535507"
Dil Chahta Hai,"Comedy,Drama,Romance, nm0451148, nm1027719"
Dil Se..,"Drama,Romance, nm0451321, nm0711745"
Dilwale Dulhania Le Jayenge,"Drama,Romance, nm0451321, nm0159147"
Dinner at Eight,"Drama, nm0000858, nm0002030"
Dip huet gai tau,"Action,Crime,Drama, nm0504897, nm0000247"
Dip huet seung hung,"Action,Crime,Drama, nm0000334, nm0000247"
Dipu Number 2,"Adventure,Family, nm7287525, nm0411259"
Dirty Harry,"Action,Crime,Thriller, nm0000142, nm0796923"
Disconnect,"Drama,Thriller, nm0000867, nm0748066"
District 9,"Action,Sci-Fi,Thriller, nm1663205, nm0088955"
Divorzio all'italiana,"Comedy,Drama,Romance, nm0000052, nm0314584"
Django Unchained,"Drama,Western, nm0004937, nm0000233"
Do lok tin si,"Comedy,Crime,Drama, nm0481709, nm0939182"
Do the Right Thing,"Comedy,Drama, nm0000732, nm0000490"
Do-ga-ni,"Drama, nm1508003, nm1375363"
Doctor Strange,"Action,Adventure,Fantasy, nm1212722, nm0220600"
Doctor Zhivago,"Drama,Romance,War, nm0001725, nm0000180"
Dodsworth,"Drama,Romance, nm0404158, nm0943758"
Dog Day Afternoon,"Biography,Crime,Drama, nm0000199, nm0001486"
Dogtown and Z-Boys,"Documentary,Sport, nm0000576, nm0672769"
Dogville,"Crime,Drama, nm0079273, nm0001885"
Dolls,"Drama,Romance, nm0632689, nm0001429"
Dolor y gloria,"Drama, nm0000104, nm0000264"
Dom za vesanje,"Comedy,Crime,Drama, nm0241131, nm0001437"
Dominion,"Documentary,Horror, nm0001618, nm6856823"
Don,"Action,Crime,Thriller, nm0000821, nm0056423"
Donnie Brasco,"Biography,Crime,Drama, nm0000199, nm0001565"
Donnie Darko,"Drama,Mystery,Sci-Fi, nm0350453, nm0446819"
Dont Look Back,"Documentary,Music, nm0672060"
Dor,"Drama, nm1662277, nm0474398"
Doragon bôru chô: Burorî,"Action,Adventure,Animation, nm0394690, nm0619110"
Doraibu mai kâ,"Drama, nm0632689, nm3152327"
Doua lozuri,"Comedy, nm1890655, nm2735137"
Double Indemnity,"Crime,Drama,Film-Noir, nm0534045, nm0000697"
Doubt,"Drama,Mystery, nm0000450, nm0788234"
Down by Law,"Comedy,Crime,Drama, nm0001823, nm0000464"
Dr. 56,"Crime,Mystery,Sci-Fi, nm1693209, nm12956221"
Dr. Babasaheb Ambedkar,"Biography,History, nm0007123, nm0665374"
Dr. Jekyll and Mr. Hyde,"Horror,Sci-Fi, nm0545298, nm0541149"
"Dr. Mabuse, der Spieler","Crime,Mystery,Thriller, nm0459030, nm0000485"
Dr. Prakash Baba Amte - The Real Hero,"Biography,Drama,History, nm0007113, nm4169405"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Comedy,War, nm0000634, nm0000040"
Dragon Ball Z - Doragon bôru zetto: Ryûken bakuhatsu!! Gokû ga yaraneba dare ga yaru,"Action,Animation,Sci-Fi, nm0476223, nm0973260"
Dragon Ball Z: Fukkatsu no Fusion!! Gokuu to Vegeta,"Action,Animation,Sci-Fi, nm0394690, nm0945674"
Drishyam,"Crime,Drama,Mystery, nm0222426, nm1723225"
Drishyam,"Crime,Drama,Thriller, nm0482320, nm2572228"
Drishyam 2,"Crime,Drama,Mystery, nm0222426, nm2391751"
Drishyam 2,"Crime,Drama,Thriller, nm0482320, nm2572228"
Drive,"Action,Drama, nm0331516, nm0716347"
Druk,"Comedy,Drama, nm0586568, nm0899121"
Du rififi chez les hommes,"Crime,Drama,Thriller, nm0785771, nm0202088"
Duck Soup,"Comedy,Musical, nm0000050, nm0564970"
Dum Laga Ke Haisha,"Comedy,Drama,Romance, nm4731677, nm2680506"
Dune: Part One,"Action,Adventure,Drama, nm3154303, nm0898288"
Dunkirk,"Action,Drama,History, nm7887725, nm0634240"
Dupa dealuri,"Drama, nm1250558, nm0612816"
Durak,"Crime,Drama,Thriller, nm4536795, nm4021775"
Dzhentlmeny udachi,"Comedy,Crime,Drama, nm0503095, nm0785877"
Dzien swira,"Comedy,Drama,Romance, nm0464945, nm0467666"
E la nave va,"Drama,History,Music, nm0428086, nm0000019"
E.T. the Extra-Terrestrial,"Adventure,Family,Sci-Fi, nm0001794, nm0000229"
Earth,"Documentary, nm0000469, nm0288144"
Earth,"Drama,Romance,War, nm0451148, nm0576548"
Earthlings,"Documentary, nm0001618, nm0598671"
East of Eden,"Drama, nm0000015, nm0001415"
Eastern Promises,"Crime,Drama,Thriller, nm0001557, nm0000343"
Ed Wood,"Biography,Comedy,Drama, nm0000136, nm0000318"
Eddie Murphy: Raw,"Comedy,Documentary, nm0285568, nm0870186"
Edge of Tomorrow,"Action,Adventure,Sci-Fi, nm0000129, nm0510731"
Edward Scissorhands,"Drama,Fantasy,Romance, nm0000136, nm0000318"
Eega,"Action,Comedy,Drama, nm1679372, nm1442514"
Efter brylluppet,"Drama, nm0586568, nm0081540"
Ek Hasina Thi,"Crime,Drama,Mystery, nm0451307, nm1437189"
El Dorado,"Drama,Romance,Western, nm0000078, nm0001328"
El abrazo de la serpiente,"Adventure,Biography,Drama, nm7047915, nm1458734"
El agente topo,"Documentary, nm3073146"
El ciudadano ilustre,"Comedy,Drama, nm0553650, nm1286935"
El cuerpo,"Crime,Drama,Mystery, nm0180580, nm1079062"
El espíritu de la colmena,"Drama,Fantasy, nm0273178, nm0258977"
El hijo de la novia,"Comedy,Drama, nm0201857, nm0002728"
El infierno,"Action,Comedy,Crime, nm0017343, nm0261840"
El laberinto del fauno,"Drama,Fantasy,War, nm0530365, nm0868219"
El secreto de sus ojos,"Drama,Mystery,Romance, nm0201857, nm0002728"
El verdugo,"Comedy,Drama, nm0542063, nm0305557"
El ángel exterminador,"Drama,Fantasy, nm0708048, nm0000320"
El-Keif,"Comedy,Drama, nm0008124, nm0008157"
Elle s'appelait Sarah,"Drama,War, nm0034390, nm0660707"
Elling,"Comedy,Drama, nm0253967, nm0639033"
Elmer Gantry,"Drama, nm0000044, nm0112218"
Elsker dig for evigt,"Drama,Romance, nm0509263, nm0081540"
Empire of the Sun,"Drama,War, nm0000288, nm0000229"
En kongelig affære,"Biography,Drama,History, nm0586568, nm1064048"
En man som heter Ove,"Comedy,Drama,Romance, nm0489858, nm0391502"
En passion,"Drama, nm0001884, nm0000005"
Encounters at the End of the World,"Documentary, nm0001348"
End of Watch,"Action,Adventure,Crime, nm0350453, nm0043742"
Endless Corridor,"Documentary,History, nm0000460, nm3873442"
Enemy at the Gates,"Action,Drama,War, nm0000179, nm0000269"
English Vinglish,"Comedy,Drama,Family, nm1300009, nm1903006"
Enron: The Smartest Guys in the Room,"Biography,Documentary,History, nm0316795"
Enter the Dragon,"Action,Crime,Drama, nm0000045, nm0167195"
Entre les murs,"Drama, nm2163571, nm0134559"
Ernest et Célestine,"Adventure,Animation,Comedy, nm0933727, nm0041334"
Escape from Alcatraz,"Action,Biography,Crime, nm0000142, nm0796923"
Eskiya,"Crime,Drama,Thriller, nm0784038, nm0877078"
Esperando la carroza,"Comedy, nm0104809, nm0233608"
Estômago,"Comedy,Drama, nm1896873, nm2293201"
Eternal Sunshine of the Spotless Mind,"Drama,Romance,Sci-Fi, nm0000120, nm0327273"
Eteros ego,"Crime,Drama,Mystery, nm1164041, nm5851640"
Europa,"Drama,Thriller, nm0000852, nm0001885"
Europa Europa,"Drama,History,War, nm0389424, nm0002140"
Evangelion Shin Gekijôban: Jo,"Action,Animation,Drama, nm0556094"
Evangerion shin gekijôban: Ha,"Action,Animation,Drama, nm0556094"
Evaru,"Crime,Drama,Mystery, nm3414188, nm10829550"
Everything Everywhere All at Once,"Action,Adventure,Comedy, nm0702841, nm3453283"
Evil Dead II,"Comedy,Horror, nm0132257, nm0000600"
Ex Machina,"Drama,Sci-Fi,Thriller, nm1727304, nm0307497"
Eyes Wide Shut,"Drama,Mystery,Thriller, nm0000129, nm0000040"
F for Fake,"Documentary, nm0004372"
Fa yeung nin wah,"Drama,Romance, nm0504897, nm0939182"
Fade to Black,"Documentary, nm5068913"
Fail Safe,"Drama,Thriller, nm0000020, nm0001486"
Failan,"Drama,Romance, nm0158856, nm1012219"
Falling Down,"Action,Crime,Drama, nm0000140, nm0001708"
Fanny och Alexander,"Drama, nm0349776, nm0000005"
Fantasia,"Animation,Family,Fantasy, nm0123553, nm0019282"
Fantastic Mr. Fox,"Adventure,Animation,Comedy, nm0000123, nm0027572"
Fantozzi,"Comedy, nm0897715, nm0757790"
Fargo,"Crime,Thriller, nm0000513, nm0001054"
Farha,"Drama, nm1678557, nm4627221"
"Fat, Sick & Nearly Dead","Documentary, nm0257373"
Faust: Eine deutsche Volkssage,"Drama,Fantasy,Horror, nm0252472, nm0003638"
Faustrecht der Freiheit,"Crime,Drama,Romance, nm0001202"
Fear and Loathing in Las Vegas,"Adventure,Comedy,Drama, nm0000136, nm0000416"
Fed Up,"Documentary, nm3253001"
Ferris Bueller's Day Off,"Comedy, nm0000111, nm0000455"
Festen,"Drama, nm0860947, nm0899121"
Fiddler on the Roof,"Drama,Family,Musical, nm0867694, nm0422484"
Field of Dreams,"Drama,Family,Fantasy, nm0000126, nm0004675"
Fight Club,"Drama, nm0000093, nm0000399"
Filantropica,"Comedy,Drama, nm0224441, nm0135952"
Finding Nemo,"Adventure,Animation,Comedy, nm0000983, nm0004056"
Finding Neverland,"Biography,Drama,Family, nm0000136, nm0286975"
Finding Vivian Maier,"Biography,Documentary,Mystery, nm0803020"
Fire of Love,"Biography,Documentary, nm2393385"
First Blood,"Action,Adventure,Thriller, nm0000230, nm0467646"
Fitzcarraldo,"Adventure,Drama, nm0001428, nm0001348"
Five Broken Cameras,"Documentary,War, nm1519079"
Flipped,"Comedy,Drama,Romance, nm2786608, nm0001661"
Flugt,"Animation,Biography,Documentary, nm12950877, nm1853542"
Flåklypa Grand Prix,"Animation,Comedy,Family, nm0369318, nm0135653"
Following,"Crime,Mystery,Thriller, nm0857458, nm0634240"
Foo Fighters: Back and Forth,"Documentary,Music, nm0002224"
"Food, Inc.","Documentary,News, nm0448422"
For Sama,"Biography,Documentary,War, nm3117666"
Forbidden Planet,"Adventure,Sci-Fi, nm0682074, nm0928208"
Ford v Ferrari,"Action,Biography,Drama, nm0000354, nm0003506"
Foreign Correspondent,"Action,Romance,Thriller, nm0566948, nm0000033"
Forrest Gump,"Drama,Romance, nm0000158, nm0000709"
Forushande,"Drama,Thriller, nm1486911, nm1410815"
Frankenstein,"Drama,Horror,Sci-Fi, nm0166972, nm0001843"
Frantz,"Drama,History,Romance, nm2582755, nm0654830"
Freaks,"Drama,Horror, nm0285922, nm0115218"
Freddy,"Drama,Mystery,Romance, nm4449711, nm1492802"
Free Solo,"Adventure,Documentary,Sport, nm1888091"
Free to Play,"Action,Documentary, nm14088996"
Freedom Writers,"Biography,Crime,Drama, nm0001131, nm0481418"
Freier Fall,"Drama,Romance, nm1269047, nm0479810"
Fresh,"Crime,Drama,Thriller, nm0625735, nm0945026"
Fried Green Tomatoes,"Drama, nm0000816"
From Here to Eternity,"Drama,Romance,War, nm0000044, nm0003593"
Frost/Nixon,"Biography,Drama,History, nm0001449, nm0000165"
Fruitvale Station,"Biography,Crime,Drama, nm0430107, nm3363032"
Fucking Åmål,"Comedy,Drama,Romance, nm0751798, nm0600546"
Fukushû suru wa ware ni ari,"Crime,Drama, nm0644523, nm0408076"
Full Metal Jacket,"Drama,War, nm0000546, nm0000040"
Funny Games,"Crime,Drama,Thriller, nm0618057, nm0359734"
Fury,"Action,Drama,War, nm0000093, nm0043742"
Fury,"Crime,Drama,Film-Noir, nm0000075, nm0000485"
G.O.R.A.,"Adventure,Comedy,Sci-Fi, nm0948000, nm0814716"
GG - Gandhada Gudi,"Adventure,Family,Musical, nm2500160"
Gaav,"Drama, nm0258168, nm0576529"
Gadjo dilo,"Comedy,Drama,Music, nm0244151, nm0309697"
Gajaman,"Animation,Comedy,Romance, nm9447651, nm9656588"
Gake no ue no Ponyo,"Adventure,Animation,Comedy, nm0000354, nm0594503"
Gandhi,"Biography,Drama,History, nm0001426, nm0000277"
Gangaajal,"Action,Crime,Drama, nm0222426, nm0422552"
Gangs of New York,"Crime,Drama, nm0000138, nm0000217"
Gangs of Wasseypur,"Action,Comedy,Crime, nm0048075, nm0440604"
Gangubai Kathiawadi,"Biography,Crime,Drama, nm8374266, nm0080220"
Garuda Gamana Vrishabha Vahana,"Crime,Drama,Thriller, nm8833077"
Gaslight,"Crime,Drama,Mystery, nm0000964, nm0002030"
Gattaca,"Drama,Sci-Fi,Thriller, nm0000160, nm0629272"
Geetha Govindam,"Comedy,Drama,Romance, nm4797922, nm1762795"
Gegen die Wand,"Drama,Romance, nm0960379, nm0015359"
Gekijouban Jujutsu Kaisen 0,"Action,Animation,Fantasy, nm0370582, nm4810022"
Gekijouban Steins;Gate: Fuka ryouiki no dejavu,"Animation,Mystery,Sci-Fi, nm1465001, nm2324235"
Gekijouban Violet Evergarden,"Animation,Drama,Fantasy, nm0620657, nm2518118"
Gemide,"Crime,Drama, nm0133448, nm0015091"
George Harrison: Living in the Material World,"Biography,Documentary,Music, nm0000217"
Germania anno zero,"Drama,War, nm0595531, nm0744023"
Get Out,"Horror,Mystery,Thriller, nm2257207, nm1443502"
Get Real,"Comedy,Drama,Romance, nm0799066, nm0794960"
Gett,"Drama, nm0008787, nm1729095"
Gettysburg,"Drama,History,War, nm0000297, nm0561813"
Ghahreman,"Drama, nm5047005, nm1410815"
Ghajini,"Action,Drama,Mystery, nm1421814, nm1436693"
Ghilli,"Action,Drama,Romance, nm0897201, nm1359360"
Ghost Dog: The Way of the Samurai,"Crime,Drama, nm0001845, nm0000464"
Ghostbusters,"Action,Comedy,Fantasy, nm0000195, nm0718645"
Giant,"Drama,Western, nm0001369, nm0828419"
Gifted,"Drama, nm0262635, nm1989536"
Gilda,"Drama,Film-Noir,Romance, nm0001229, nm0896533"
Gimme Shelter,"Documentary,Music,Thriller, nm0563099"
Ging chaat goo si,"Action,Comedy,Crime, nm0000329, nm0155179"
Gisaengchung,"Drama,Thriller, nm0814280, nm0094435"
Giulietta degli spiriti,"Comedy,Drama,Fantasy, nm0685609, nm0000019"
Giù la testa,"Drama,War,Western, nm0001768, nm0001466"
Gladiator,"Action,Adventure,Drama, nm0000128, nm0000631"
Glengarry Glen Ross,"Crime,Drama,Mystery, nm0000199, nm0001226"
Gloomy Sunday - Ein Lied von Liebe und Tod,"Drama,Romance, nm0473166, nm0778280"
Glory,"Biography,Drama,History, nm0000111, nm0001880"
God's Own Country,"Drama,Romance, nm4853066, nm0497274"
Godfather,"Comedy,Drama,Romance, nm1099392, nm0482309"
Godhi Banna Sadharana Mykattu,"Drama,Thriller, nm0619047, nm9634132"
Going Clear: Scientology & the Prison of Belief,"Documentary, nm0316795"
Gojira,"Horror,Sci-Fi, nm0793766, nm0393094"
Gol Maal,"Comedy,Romance, nm0657505, nm0611531"
Gold Diggers of 1933,"Comedy,Drama,Musical, nm0929925, nm0503777"
Goldfinger,"Action,Adventure,Thriller, nm0000125, nm0357891"
Gone Baby Gone,"Crime,Drama,Mystery, nm0000151, nm0000255"
Gone Girl,"Drama,Mystery,Thriller, nm0000255, nm0000399"
Gone with the Wind,"Drama,Romance,War, nm0000022, nm0281808"
Gongdong gyeongbi guyeok JSA,"Action,Drama,Thriller, nm0496932, nm0661791"
Gonzo: The Life and Work of Dr. Hunter S. Thompson,"Biography,Documentary,Music, nm2900465, nm0316795"
Good Bye Lenin!,"Comedy,Drama,Romance, nm0117709, nm0065615"
Good Will Hunting,"Drama,Romance, nm0000245, nm0001814"
GoodFellas,"Biography,Crime,Drama, nm0000134, nm0000217"
Goodachari,"Action,Thriller, nm3414188, nm3481620"
"Goodbye, Mr. Chips","Drama,Romance, nm0232196, nm0939992"
Goopy Gyne Bagha Byne,"Adventure,Comedy,Family, nm0154170, nm0006249"
Gran Torino,"Drama, nm0000142"
Graves End,"Mystery,Thriller, nm0000616, nm0549283"
Gravity,"Drama,Sci-Fi,Thriller, nm0000123, nm0190859"
Great Expectations,"Adventure,Drama,Mystery, nm0590055, nm0000180"
Greed,"Drama,Thriller,Western, nm0332998, nm0002233"
Green Book,"Biography,Comedy,Drama, nm0001557, nm0268380"
Grey Gardens,"Comedy,Documentary,Drama, nm0317487"
Grindhouse,"Action,Horror,Thriller, nm0000621, nm0001675"
Groundhog Day,"Comedy,Drama,Fantasy, nm0000195, nm0000601"
Guardians of the Galaxy,"Action,Adventure,Comedy, nm0695435, nm0348181"
Guardians of the Galaxy Vol. 2,"Action,Adventure,Comedy, nm0695435, nm0348181"
Guess Who's Coming to Dinner,"Comedy,Drama, nm0000075, nm0006452"
Guide,"Drama,Musical,Romance, nm0007147, nm0025629"
Guillermo del Toro's Pinocchio,"Animation,Drama,Family, nm0000191, nm0868219"
Guizi lai le,"Comedy,Drama,War, nm0422638"
Gulaal,"Crime,Drama,Thriller, nm1946407, nm0440604"
Guling jie shaonian sharen shijian,"Crime,Drama,Romance, nm0151654, nm0945981"
Gully Boy,"Drama,Music,Romance, nm3828984, nm0015295"
Gully Gang,"Action,Romance, nm13379007, nm13379006"
Gun Crazy,"Crime,Drama,Film-Noir, nm0197982, nm0507390"
Gundamma Katha,"Comedy,Drama, nm0004417, nm0710563"
Guru,"Drama, nm0149822, nm0711745"
"Gwang-hae, wang-i doin nam-ja","Drama,History, nm0496932, nm2039220"
Gycklarnas afton,"Drama, nm0344958, nm0000005"
Gönül Yarasi,"Drama, nm0784038, nm0877078"
Gûzen to sôzô,"Drama,Romance, nm6331906, nm3152327"
Gülen Gözler,"Comedy,Drama,Family, nm0654805, nm0251027"
Hababam Sinifi,"Comedy,Drama, nm0839017, nm0251027"
Hababam Sinifi Sinifta Kaldi,"Comedy, nm0839017, nm0251027"
Hababam Sinifi Tatilde,"Adventure,Comedy,Drama, nm0839017, nm0251027"
Hababam Sinifi Uyaniyor,"Adventure,Comedy, nm0839017, nm0251027"
Hable con ella,"Drama,Mystery,Romance, nm0194572, nm0000264"
Hachi: A Dog's Tale,"Biography,Drama,Family, nm0000152, nm0002120"
